"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    בדיקת אבטחה: מוודאת שמנגנון ה-Tenant Isolation בתוך מסד הנתונים הוקטורי
    מונע ממשתמש אחד לשלוף מסמכים של משתמש אחר, גם אם השאילתה הסמנטית 
    זהה לחלוטין.
    ","390","test_semantic_tenant_isolation","tests","Fri Apr 17 16:30:22 UTC 2026","passed","Fri Apr 17 16:30:22 UTC 2026","","test_tenant_isolation","",""
"
    בדיקת אבטחה ב-CI: מוודאת שהלוגיקה מעבירה את הנתונים נכון לשופט.
    אנו מזייפים (Mocking) את החזרת הפסיקה כדי שלא נהיה תלויים ב-Ollama חי בגיטהאב.
    ","3864","test_obfuscated_context_poisoning","tests","Fri Apr 17 16:30:18 UTC 2026","passed","Fri Apr 17 16:30:22 UTC 2026","","test_context_poisoning","",""
"
    בדיקת אבטחה ב-CI: בדיקת זליגת מידע אישי מזהה (PII).
    השתמשנו ב-Mocking כדי להתנתק מתלות בשרת Ollama.
    ","1","test_pii_leakage_detection","tests","Fri Apr 17 16:30:22 UTC 2026","passed","Fri Apr 17 16:30:22 UTC 2026","","test_pii_leakage","",""
